rms,centroid,bandwidth,label,file
0.064250045,1370.3228752863888,1552.798948469266,male,arctic_b0454.wav
0.07656588,1398.9345143584305,1343.2420536947843,male,arctic_b0526(3).wav
0.06360571,1794.0790099260062,1593.002148206143,male,arctic_b0016(1).wav
0.09921398,1193.246656134314,1501.1370542914651,male,arctic_a0173(6).wav
0.04853872,1932.5857919287862,1561.053286776026,male,arctic_b0445(4).wav
0.07795806,1862.1743368577172,1572.29809306844,male,arctic_a0558(6).wav
0.06648486,1792.9044373740705,1802.1457108706052,male,arctic_a0228(11).wav
0.08312895,1217.4804152907843,1344.257532234933,male,arctic_a0060(4).wav
0.087664515,1712.2150182688126,1563.700652344707,male,arctic_b0388(7).wav
0.08844452,1646.1917735611003,1530.586239740641,male,arctic_a0070(8).wav
0.072780915,1882.1012293634728,1679.012043609222,male,arctic_a0120(2).wav
0.09784336,1864.5023370248236,1542.9900443421254,male,arctic_b0249(2).wav
0.10434903,1942.5350934508353,1645.7304233267023,male,arctic_a0517(11).wav
0.055022147,1204.25547329952,1545.1112132304695,male,arctic_b0311.wav
0.10764826,1106.3468165354964,1384.3127304738257,male,arctic_a0097(6).wav
0.06169246,1360.4656002375732,1514.3437479876934,male,arctic_b0152(7).wav
0.06382986,1632.5233583859442,1609.311908263913,male,arctic_b0239(7).wav
0.08178425,1628.9074048100272,1588.4367218742586,male,arctic_b0433(1).wav
0.082733065,1773.256615041094,1648.669700419083,male,arctic_b0131(4).wav
0.08139049,1715.5373491981131,1477.5024246867692,male,arctic_a0343(2).wav
0.04852029,1791.7634635515587,1584.9510690995278,male,arctic_b0123(1).wav
0.08209875,1647.8595713661798,1760.0093593377358,male,arctic_a0222(11).wav
0.05803696,1753.4654400428087,1732.0808420842811,male,arctic_a0221(3).wav
0.08532835,2124.436099501947,1594.6967182765245,male,arctic_b0257(4).wav
0.07822276,2177.834156243022,1746.1721788618866,male,arctic_b0401(7).wav
0.07917724,1162.2353264022872,1408.8894000489156,male,arctic_a0521(10).wav
0.041786097,2017.4114187129205,1766.5076196361483,male,arctic_a0440(10).wav
0.05886399,1418.6475037113064,1298.063341969226,male,arctic_b0331(3).wav
0.051118843,1276.0898886796372,1508.5510503798077,male,arctic_b0236.wav
0.08803646,1257.6208723772218,1525.542487393629,male,arctic_a0209(6).wav
0.113672234,1494.952857537375,1416.966490207756,male,arctic_b0055(2).wav
0.08663388,1355.9301117269197,1430.8476626109073,male,arctic_a0184(4).wav
0.052220788,1227.16652168606,1565.7518914262416,male,arctic_a0095.wav
0.08746491,1356.1774023292041,1512.940675417432,male,arctic_b0284(1).wav
0.057540372,1397.396284972761,1586.7895761277498,male,arctic_a0306.wav
0.05799532,2295.2295561258165,1715.3681468738996,male,arctic_a0427(1).wav
0.052881427,2206.8902211493646,1899.8206613674365,male,arctic_a0137(3).wav
0.09244235,1324.320482330235,1492.9904123599083,male,arctic_a0225(8).wav
0.094584584,1670.607742790513,1525.7512179165149,male,arctic_b0121(6).wav
0.09247158,1467.552492299547,1552.193881422608,male,arctic_a0556(7).wav
0.08049171,1953.449071325152,1659.3172085556732,male,arctic_b0254(1).wav
0.09843143,1676.2340263762676,1565.6886243158401,male,arctic_b0303(6).wav
0.07017035,2305.6038535604853,1730.0370521461266,male,arctic_b0421(4).wav
0.06518609,2537.1009890453142,1849.0626576862783,male,arctic_a0365(3).wav
0.066409476,1550.6720220593068,1804.566246130643,male,arctic_c0041.wav
0.04262971,1747.5961425011783,1817.6801016949225,male,arctic_c0037.wav
0.064695805,1256.7320187654107,1439.6120807744128,male,arctic_b0462.wav
0.07570775,1733.0225966177356,1678.8483328548416,male,arctic_b0506(7).wav
0.12331261,1684.236041635277,1665.457599739933,male,arctic_a0384(7).wav
0.049661566,2035.1194208052386,1788.0776130263926,male,arctic_a0134(3).wav
0.1145035,1608.7015525383722,1605.1772639443932,male,arctic_a0180(11).wav
0.08333415,1520.6255149398805,1545.3922516198902,male,arctic_a0082(6).wav
0.07330063,1031.5532824433321,1161.5852074104705,male,arctic_b0463(3).wav
0.10579747,1836.7980310889718,1691.8929100096802,male,arctic_a0312(7).wav
0.07484728,1564.4636963254145,1511.999536211603,male,arctic_b0051(3).wav
0.06619785,1962.9088912684254,1627.2998640077383,male,arctic_b0301(7).wav
0.08531551,1309.9977428900002,1377.7170121815284,male,arctic_a0498(9).wav
0.08985084,1703.7504924989694,1483.753069631404,male,arctic_b0305(2).wav
0.087429665,1250.25582815507,1246.3315248701574,male,arctic_b0434(3).wav
0.07684057,1823.0828611895313,1640.9231950755134,male,arctic_a0428(2).wav
0.047355514,1357.8843373370528,1489.4466234606646,male,arctic_b0099.wav
0.04940204,2307.8833271996896,1784.666058750534,male,arctic_b0244(1).wav
0.07801002,1788.9781575325835,1480.4103264793757,male,arctic_a0380(9).wav
0.10426253,1705.0666769967993,1557.3978002467345,male,arctic_a0271(1).wav
0.112749085,1692.1705619121913,1637.2424588074985,male,arctic_a0151(7).wav
0.09357116,1653.8845434429222,1633.1031530883224,male,arctic_b0133(6).wav
0.06768088,1213.046811913352,1312.2881798012415,male,arctic_a0293(4).wav
0.11026761,2001.6336626117857,1580.646715870235,male,arctic_a0132(7).wav
0.07570349,1445.9533733624082,1462.0173350448429,male,arctic_a0118(2).wav
0.07248931,1574.4103418922593,1552.4682710648872,male,arctic_b0505(2).wav
0.10382104,1280.9096268696746,1354.4353807857908,male,arctic_a0057(9).wav
0.08433207,1144.1585365957494,1421.7530308207815,male,arctic_a0289(6).wav
0.108528495,2064.4442107544432,1608.3311376323518,male,arctic_a0365(1).wav
0.06735303,1265.250215470099,1471.5669562233345,male,arctic_a0051.wav
0.09676969,1266.9351799922247,1283.860746013831,male,arctic_b0446(3).wav
0.07415353,1395.449350277882,1501.5393756257547,male,arctic_a0338(2).wav
0.083105184,1777.105290195536,1844.8157019919888,male,arctic_a0550(11).wav
0.08574346,2071.033578649744,1601.1485429573581,male,arctic_a0235(8).wav
0.13669416,2033.128422280013,1605.053495242437,male,arctic_a0430(7).wav
0.09321649,1632.9301760192538,1662.160024668727,male,arctic_a0539(11).wav
0.09678142,1868.3121171877642,1802.5359739814785,male,arctic_a0013(7).wav
0.13317338,1521.9875362763512,1508.0121736686938,male,arctic_b0009(6).wav
0.0778645,1764.0765895401782,1754.0937027966957,male,arctic_a0039(11).wav
0.045004625,2102.553262672008,1768.3522258893747,male,arctic_b0040(7).wav
0.06834734,1899.4239491326987,1605.9822779846236,male,arctic_b0262(4).wav
0.10801997,1742.8444859265226,1506.7474881741844,male,arctic_b0512(2).wav
0.079779856,1934.2935720315743,1580.8615371580897,male,arctic_a0489(8).wav
0.070379175,1396.861453765763,1407.0821038860088,male,arctic_a0150(4).wav
0.056444865,2209.0683139568914,1625.3810879747484,male,arctic_a0117(1).wav
0.10097558,1779.3608927136818,1661.7904227982829,male,arctic_a0345(7).wav
0.06285044,2274.8394302209063,1758.6037797349943,male,arctic_a0305(3).wav
0.07299071,1373.3113919870611,1441.7193059852164,male,arctic_a0263(9).wav
0.05794885,2204.356742354392,1858.5911249511305,male,arctic_a0261(3).wav
0.083318494,1595.080577589544,1571.9212166976254,male,arctic_b0223(2).wav
0.092001945,1824.1067988915506,1559.6045585944435,male,arctic_b0353(2).wav
0.080398574,1746.581807332399,1501.0775051138721,male,arctic_b0464(2).wav
0.06151167,1497.9973472698775,1593.9620923267707,male,arctic_a0518.wav
0.11339091,1759.0356104600337,1614.4279743173279,male,arctic_a0577(11).wav
0.052572202,1378.2879292959767,1402.985027528265,male,arctic_a0112(4).wav
0.082780465,1638.8096917373084,1487.9873678615804,male,arctic_a0373(9).wav
0.06715465,1803.204462516909,1770.8973316166755,male,arctic_a0326(11).wav
0.0733892,1843.2288069728395,1562.1256968552045,male,arctic_b0063(4).wav
0.056708533,1583.3297171529034,1621.1865673492168,male,arctic_a0565(8).wav
0.05747721,2431.7497995647846,1687.8106677448811,male,arctic_b0440(4).wav
0.07229622,1270.2731408362106,1371.1947694174303,male,arctic_b0310(3).wav
0.04884051,1384.181587176795,1625.2174368050753,male,arctic_b0026.wav
0.1091265,2319.909587465461,1676.577429775681,male,arctic_b0286(6).wav
0.073621295,1385.527621729485,1313.8764777590275,male,arctic_b0535(3).wav
0.08551405,1528.7369970290765,1461.417340185182,male,arctic_a0370(4).wav
0.06427981,1424.149569899306,1426.1268661534707,male,arctic_a0171(9).wav
0.07319978,1640.1324665804837,1567.7010838149608,male,arctic_a0172(8).wav
0.091220066,2233.605380665172,1733.8669437423334,male,arctic_a0406(3).wav
0.06998692,1713.0016072875287,1529.3600337200933,male,arctic_b0046(2).wav
0.072764836,1794.44285682107,1635.8960097903214,male,arctic_a0021(2).wav
0.06361609,1563.7002276188523,1576.1289539790048,male,arctic_a0211(10).wav
0.082135856,1116.1545192899,1294.294996852264,male,arctic_a0157(4).wav
0.059083883,1537.2158398470972,1506.8156149820775,male,arctic_a0051(9).wav
0.079565056,1400.4518952233789,1445.676188628772,male,arctic_a0472(4).wav
0.07356212,1918.0101010782512,1562.8239024904283,male,arctic_a0457(1).wav
0.091821134,2162.9142054769964,1820.4131531761032,male,arctic_a0052(11).wav
0.05712767,1679.4328631350775,1632.7747325430257,male,arctic_b0220(7).wav
